YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	D-J-F	M-A-M	J-J-A	S-O-N	metANN
2006	0.49	1.59	5.29	10.39	14.69	19.69	23.89	16.99	18.19	13.79	7.89	3.57	0.89	10.12	20.19	13.29	11.12
2007	4.47	5.77	6.87	14.47	15.47	18.77	19.07	18.87	14.87	10.97	4.37	2.45	4.60	12.27	18.90	10.07	11.46
2008	3.95	4.05	6.15	9.35	15.95	18.65	20.15	19.45	14.25	11.35	6.45	1.74	3.48	10.48	19.42	10.68	11.02
2009	-0.06	1.94	6.44	12.54	17.14	18.44	20.64	21.34	16.74	10.74	7.94	2.42	1.21	12.04	20.14	11.81	11.30
2010	0.52	2.12	5.72	11.12	13.12	17.72	22.22	18.82	14.52	10.22	6.42	0.40	1.69	9.99	19.59	10.39	10.41
2011	2.60	3.20	7.30	13.30	16.40	17.90	17.90	20.30	17.30	11.10	6.60	4.29	2.07	12.33	18.70	11.67	11.19
2012	2.99	-2.01	8.69	10.29	15.19	19.19	19.89	20.79	15.59	11.29	7.09	3.07	1.76	11.39	19.96	11.32	11.11
2013	1.37	0.47	4.27	10.37	11.57	17.07	21.57	20.07	15.97	12.87	5.97	1.55	1.64	8.74	19.57	11.60	10.39
2014	4.15	4.85	7.85	11.85	13.55	19.15	18.45	18.05	16.75	13.75	8.25	4.33	3.52	11.08	18.55	12.92	11.52
2015	2.63	1.73	7.33	11.23	15.33	19.93	24.23	20.83	14.83	10.13	7.13	3.92	2.90	11.30	21.66	10.70	11.64
2016	4.22	5.02	5.72	10.02	13.32	17.72	20.82	20.42	18.02	9.92	6.22	1.40	4.39	9.69	19.65	11.39	11.28
2017	-1.20	4.80	8.70	10.50	15.00	20.90	21.40	21.20	999.90	999.90	999.90	999.90	1.67	11.40	21.17	999.90	11.47
